t,ramp_alpha,dry_run,tilt_trip,reason
8008.135360,1.000000,0,0,"ok"
8008.155358,1.000000,0,0,"ok"
8008.175344,1.000000,0,0,"ok"
8008.195356,1.000000,0,0,"ok"
8008.215376,1.000000,0,0,"ok"
8008.235414,1.000000,0,0,"ok"
8008.255322,1.000000,0,0,"ok"
8008.275360,1.000000,0,0,"ok"
8008.295805,1.000000,0,0,"ok"
8008.315584,1.000000,0,0,"ok"
8008.335400,1.000000,0,0,"ok"
8008.355392,1.000000,0,0,"ok"
8008.375301,1.000000,0,0,"ok"
8008.395356,1.000000,0,0,"ok"
8008.416392,1.000000,0,0,"ok"
8008.435481,1.000000,0,0,"ok"
8008.455315,1.000000,0,0,"ok"
8008.475346,1.000000,0,0,"ok"
8008.495428,1.000000,0,0,"ok"
8008.515463,1.000000,0,0,"ok"
8008.535941,1.000000,0,0,"ok"
8008.555350,1.000000,0,0,"ok"
8008.575270,1.000000,0,0,"ok"
8008.595368,1.000000,0,0,"ok"
8008.615364,1.000000,0,0,"ok"
8008.635346,1.000000,0,0,"ok"
8008.656535,1.000000,0,0,"ok"
8008.675311,1.000000,0,0,"ok"
8008.695292,1.000000,0,0,"ok"
8008.715349,1.000000,0,0,"ok"
8008.735345,1.000000,0,0,"ok"
8008.755339,1.000000,0,0,"ok"
8008.775335,1.000000,0,0,"ok"
8008.795345,1.000000,0,0,"ok"
8008.815341,1.000000,0,0,"ok"
8008.835335,1.000000,0,0,"ok"
8008.855354,1.000000,0,0,"ok"
8008.875337,1.000000,0,0,"ok"
8008.896266,1.000000,0,0,"ok"
8008.915340,1.000000,0,0,"ok"
8008.935338,1.000000,0,0,"ok"
8008.955335,1.000000,0,0,"ok"
8008.975332,1.000000,0,0,"ok"
8008.995378,1.000000,0,0,"ok"
8009.015338,1.000000,0,0,"ok"
8009.035352,1.000000,0,0,"ok"
8009.055328,1.000000,0,0,"ok"
8009.075356,1.000000,0,0,"ok"
8009.095325,1.000000,0,0,"ok"
8009.115296,1.000000,0,0,"ok"
8009.135575,1.000000,0,0,"ok"
8009.155287,1.000000,0,0,"ok"
8009.175372,1.000000,0,0,"ok"
8009.195322,1.000000,0,0,"ok"
8009.215748,1.000000,0,0,"ok"
8009.235323,1.000000,0,0,"ok"
8009.255908,1.000000,0,0,"ok"
8009.275358,1.000000,0,0,"ok"
8009.295245,1.000000,0,0,"ok"
8009.315416,1.000000,0,0,"ok"
8009.335273,1.000000,0,0,"ok"
8009.355323,1.000000,0,0,"ok"
8009.375367,1.000000,0,0,"ok"
8009.395378,1.000000,0,0,"ok"
8009.415686,1.000000,0,0,"ok"
8009.435318,1.000000,0,0,"ok"
8009.455305,1.000000,0,0,"ok"
8009.475312,1.000000,0,0,"ok"
8009.495358,1.000000,0,0,"ok"
8009.515308,1.000000,0,0,"ok"
8009.535317,1.000000,0,0,"ok"
8009.555320,1.000000,0,0,"ok"
8009.575311,1.000000,0,0,"ok"
8009.595257,1.000000,0,0,"ok"
8009.615327,1.000000,0,0,"ok"
8009.635309,1.000000,0,0,"ok"
8009.655310,1.000000,0,0,"ok"
8009.675303,1.000000,0,0,"ok"
8009.695307,1.000000,0,0,"ok"
8009.715379,1.000000,0,0,"ok"
8009.736975,1.000000,0,0,"ok"
8009.757169,1.000000,0,0,"ok"
8009.775303,1.000000,0,0,"ok"
8009.795301,1.000000,0,0,"ok"
8009.815286,1.000000,0,0,"ok"
8009.835929,1.000000,0,0,"ok"
8009.856112,1.000000,0,0,"ok"
8009.875373,1.000000,0,0,"ok"
8009.895230,1.000000,0,0,"ok"
8009.915351,1.000000,0,0,"ok"
8009.935283,1.000000,0,0,"ok"
8009.955976,1.000000,0,0,"ok"
8009.975284,1.000000,0,0,"ok"
8009.995253,1.000000,0,0,"ok"
8010.015315,1.000000,0,0,"ok"
8010.035309,1.000000,0,0,"ok"
8010.056115,1.000000,0,0,"ok"
8010.075330,1.000000,0,0,"ok"
8010.095292,1.000000,0,0,"ok"
8010.115291,1.000000,0,0,"ok"
8010.135374,1.000000,0,0,"ok"
8010.155298,1.000000,0,0,"ok"
8010.175444,1.000000,0,0,"ok"
8010.195297,1.000000,0,0,"ok"
8010.215243,1.000000,0,0,"ok"
8010.236523,1.000000,0,0,"ok"
8010.255289,1.000000,0,0,"ok"
8010.275293,1.000000,0,0,"ok"
8010.295293,1.000000,0,0,"ok"
8010.315288,1.000000,0,0,"ok"
8010.335484,1.000000,0,0,"ok"
8010.355957,1.000000,0,0,"ok"
8010.375400,1.000000,0,0,"ok"
8010.395329,1.000000,0,0,"ok"
8010.415317,1.000000,0,0,"ok"
8010.436493,1.000000,0,0,"ok"
8010.455287,1.000000,0,0,"ok"
8010.475279,1.000000,0,0,"ok"
8010.495281,1.000000,0,0,"ok"
8010.515282,1.000000,0,0,"ok"
8010.535207,1.000000,0,0,"ok"
8010.555275,1.000000,0,0,"ok"
8010.575275,1.000000,0,0,"ok"
8010.595277,1.000000,0,0,"ok"
8010.615276,1.000000,0,0,"ok"
8010.636263,1.000000,0,0,"ok"
8010.656126,1.000000,0,0,"ok"
8010.675272,1.000000,0,0,"ok"
8010.695272,1.000000,0,0,"ok"
8010.715271,1.000000,0,0,"ok"
8010.735272,1.000000,0,0,"ok"
8010.756169,1.000000,0,0,"ok"
8010.775277,1.000000,0,0,"ok"
8010.795203,1.000000,0,0,"ok"
8010.815264,1.000000,0,0,"ok"
8010.836157,1.000000,0,0,"ok"
8010.855364,1.000000,0,0,"ok"
8010.875264,1.000000,0,0,"ok"
8010.895236,1.000000,0,0,"ok"
8010.915269,1.000000,0,0,"ok"
8010.935227,1.000000,0,0,"ok"
8010.955302,1.000000,0,0,"ok"
8010.975259,1.000000,0,0,"ok"
8010.995259,1.000000,0,0,"ok"
8011.015226,1.000000,0,0,"ok"
8011.035749,1.000000,0,0,"ok"
8011.055273,1.000000,0,0,"ok"
8011.075255,1.000000,0,0,"ok"
8011.095257,1.000000,0,0,"ok"
8011.115260,1.000000,0,0,"ok"
8011.135256,1.000000,0,0,"ok"
8011.155255,1.000000,0,0,"ok"
8011.175259,1.000000,0,0,"ok"
8011.195254,1.000000,0,0,"ok"
8011.215255,1.000000,0,0,"ok"
8011.235274,1.000000,0,0,"ok"
8011.255206,1.000000,0,0,"ok"
8011.275248,1.000000,0,0,"ok"
8011.295255,1.000000,0,0,"ok"
8011.315272,1.000000,0,0,"ok"
8011.335355,1.000000,0,0,"ok"
8011.355285,1.000000,0,0,"ok"
8011.375259,1.000000,0,0,"ok"
8011.395275,1.000000,0,0,"ok"
8011.415264,1.000000,0,0,"ok"
8011.435233,1.000000,0,0,"ok"
8011.455278,1.000000,0,0,"ok"
8011.475253,1.000000,0,0,"ok"
8011.495242,1.000000,0,0,"ok"
8011.515243,1.000000,0,0,"ok"
8011.535276,1.000000,0,0,"ok"
8011.555256,1.000000,0,0,"ok"
8011.575251,1.000000,0,0,"ok"
8011.595240,1.000000,0,0,"ok"
8011.615241,1.000000,0,0,"ok"
8011.635251,1.000000,0,0,"ok"
8011.655238,1.000000,0,0,"ok"
8011.675243,1.000000,0,0,"ok"
8011.695236,1.000000,0,0,"ok"
8011.715233,1.000000,0,0,"ok"
8011.735203,1.000000,0,0,"ok"
8011.755252,1.000000,0,0,"ok"
8011.775231,1.000000,0,0,"ok"
8011.795163,1.000000,0,0,"ok"
8011.815230,1.000000,0,0,"ok"
8011.835250,1.000000,0,0,"ok"
8011.855228,1.000000,0,0,"ok"
8011.875228,1.000000,0,0,"ok"
8011.895227,1.000000,0,0,"ok"
8011.915231,1.000000,0,0,"ok"
8011.935236,1.000000,0,0,"ok"
8011.955244,1.000000,0,0,"ok"
8011.975226,1.000000,0,0,"ok"
8011.995227,1.000000,0,0,"ok"
8012.015230,1.000000,0,0,"ok"
8012.035240,1.000000,0,0,"ok"
8012.055157,1.000000,0,0,"ok"
8012.075181,1.000000,0,0,"ok"
8012.095221,1.000000,0,0,"ok"
8012.115219,1.000000,0,0,"ok"
8012.135292,1.000000,0,0,"ok"
8012.155226,1.000000,0,0,"ok"
8012.175217,1.000000,0,0,"ok"
8012.195230,1.000000,0,0,"ok"
8012.215218,1.000000,0,0,"ok"
8012.235262,1.000000,0,0,"ok"
8012.255222,1.000000,0,0,"ok"
8012.275214,1.000000,0,0,"ok"
8012.295219,1.000000,0,0,"ok"
