t,dq_left_hip_pitch_joint,dq_left_hip_roll_joint,dq_left_hip_yaw_joint,dq_left_knee_joint,dq_left_ankle_pitch_joint,dq_left_ankle_roll_joint,dq_right_hip_pitch_joint,dq_right_hip_roll_joint,dq_right_hip_yaw_joint,dq_right_knee_joint,dq_right_ankle_pitch_joint,dq_right_ankle_roll_joint,dq_waist_yaw_joint,dq_waist_pitch_joint,dq_waist_roll_joint,dq_left_shoulder_pitch_joint,dq_left_shoulder_roll_joint,dq_left_shoulder_yaw_joint,dq_left_elbow_joint,dq_left_wrist_yaw_joint,dq_left_wrist_pitch_joint,dq_left_wrist_roll_joint,dq_right_shoulder_pitch_joint,dq_right_shoulder_roll_joint,dq_right_shoulder_yaw_joint,dq_right_elbow_joint,dq_right_wrist_yaw_joint,dq_right_wrist_pitch_joint,dq_right_wrist_roll_joint,dq_head_yaw_joint,dq_head_pitch_joint
8004.375499,0.128204,0.067156,-0.018314,-0.372406,0.250305,-0.079365,0.152626,0.030525,-0.115995,-0.286936,0.115995,0.067156,-0.042734,-0.086439,-0.051018,-0.103785,-0.054945,-0.421246,-0.006105,-0.347986,0.095238,-0.007326,0.042734,-0.042734,0.274725,0.006105,0.140415,0.080585,-0.065933,0.009206,0.000000
8004.395497,0.128204,0.030525,-0.042734,-0.396826,0.164835,-0.091576,0.103785,0.018314,-0.091576,-0.238094,0.067156,0.042734,-0.054945,0.040908,-0.050782,-0.140415,-0.091576,-0.189255,-0.006105,-0.225885,0.080585,-0.007326,0.018314,-0.030525,0.201466,0.006105,0.030525,0.095238,-0.051283,0.003069,0.000000
8004.415472,0.152626,0.067156,0.006105,-0.372406,0.177046,-0.115995,0.115995,0.042734,-0.042734,-0.225885,0.115995,0.079365,-0.067156,0.045486,-0.055952,-0.189255,-0.006105,-0.494505,0.006105,-0.128204,0.065933,0.007326,-0.006105,-0.054945,0.250305,0.006105,0.030525,0.080585,-0.095238,0.003069,0.000000
8004.435451,0.164835,0.042734,-0.006105,-0.384615,0.164835,-0.042734,0.140415,0.054945,-0.030525,-0.274725,0.067156,0.115995,0.006105,0.018182,0.015230,-0.201466,0.006105,-0.531136,-0.006105,-0.091576,0.051283,-0.007326,-0.042734,-0.079365,0.323565,-0.018314,0.042734,0.080585,-0.095238,0.003069,0.000000
8004.455551,0.103785,0.079365,0.006105,-0.347986,0.115995,-0.067156,0.103785,0.067156,-0.067156,-0.274725,-0.054945,0.079365,-0.030525,-0.004541,-0.010170,-0.079365,-0.054945,-0.360195,-0.006105,0.006105,0.065933,-0.007326,-0.030525,-0.115995,0.347986,-0.067156,0.030525,0.124542,-0.095238,0.009206,0.000000
8004.475459,0.103785,0.067156,0.006105,-0.323565,0.067156,-0.054945,0.140415,0.042734,-0.067156,-0.311356,-0.006105,0.189255,-0.042734,0.141137,-0.163212,-0.006105,-0.042734,-0.262516,-0.006105,0.006105,0.080585,-0.007326,0.006105,-0.091576,0.311356,-0.067156,0.018314,0.095238,-0.095238,0.003069,0.000000
8004.495485,0.140415,0.103785,0.006105,-0.347986,0.128204,-0.091576,0.213675,0.018314,-0.128204,-0.299145,-0.006105,0.128204,-0.103785,0.141278,-0.163664,-0.006105,0.006105,-0.372406,-0.006105,0.006105,0.109890,-0.007326,0.006105,-0.067156,0.274725,-0.006105,0.042734,0.051283,-0.109890,0.003069,0.000000
8004.515827,0.079365,0.103785,0.006105,-0.286936,0.103785,-0.054945,0.164835,0.030525,-0.152626,-0.262516,-0.006105,0.091576,-0.140415,-0.004595,0.030612,-0.006105,0.054945,-0.470085,-0.006105,-0.018314,0.095238,0.007326,0.030525,-0.067156,0.299145,0.006105,0.054945,0.139194,-0.080585,0.003069,0.000000
8004.535472,0.030525,0.128204,0.030525,-0.250305,0.030525,-0.103785,0.152626,0.042734,-0.177046,-0.238094,-0.006105,0.018314,-0.152626,-0.013705,0.040830,-0.006105,-0.006105,-0.286936,-0.006105,-0.018314,0.065933,-0.007326,0.006105,-0.067156,0.335775,0.006105,0.091576,0.095238,-0.065933,0.003069,0.000000
8004.555482,0.042734,0.091576,0.030525,-0.238094,-0.018314,-0.091576,0.140415,0.018314,-0.140415,-0.238094,-0.030525,0.042734,-0.128204,0.049996,0.050818,-0.006105,-0.006105,-0.262516,-0.018314,-0.018314,0.095238,-0.007326,0.006105,-0.054945,0.409035,0.006105,0.152626,0.080585,-0.065933,0.003069,0.000000
