t,a_il_0,a_il_1,a_il_2,a_il_3,a_il_4,a_il_5,a_il_6,a_il_7,a_il_8,a_il_9,a_il_10,a_il_11,a_il_12,a_il_13,a_il_14,a_il_15,a_il_16,a_il_17,a_il_18,a_il_19,a_il_20,a_il_21,a_il_22,a_il_23,a_il_24,a_il_25,a_il_26,a_il_27,a_il_28,a_il_29,a_il_30
8004.355421,0.375975,0.974445,-0.185922,0.569191,-0.531372,0.041001,0.167118,-0.350575,0.012317,-2.287450,-1.501254,-2.751066,-0.181116,0.063050,0.876366,0.838688,-0.320442,0.080386,-0.105308,-0.738455,0.460452,-1.500672,1.350782,0.059946,-0.161877,-0.414812,0.449276,11.827533,-4.824552,3.399612,-3.199734
8004.375499,0.422701,0.932703,-0.190717,0.533771,-0.503992,0.136159,0.197670,-0.342120,0.028400,-2.285347,-1.542781,-2.759988,-0.180822,0.063504,0.768471,0.766060,-0.195482,0.095906,-0.104650,-0.728177,0.454877,-1.502580,1.352164,0.079581,-0.159426,-0.420098,0.460289,11.930362,-4.987412,3.398947,-3.284560
8004.395497,0.442267,0.914645,-0.181673,0.480203,-0.501654,0.156820,0.212653,-0.343766,0.048402,-2.281225,-1.581137,-2.758114,-0.184773,0.040378,0.675518,0.706278,-0.078011,0.117681,-0.091681,-0.708861,0.475551,-1.503205,1.366547,0.084100,-0.177438,-0.419425,0.458252,12.022089,-5.155015,3.394148,-3.363319
8004.415472,0.438206,0.912386,-0.169535,0.413598,-0.509173,0.126279,0.211259,-0.347534,0.086165,-2.268500,-1.617369,-2.741248,-0.160429,0.038530,0.578566,0.628813,0.017282,0.110357,-0.071033,-0.676225,0.499110,-1.503895,1.379867,0.082412,-0.181421,-0.406726,0.473185,12.101346,-5.328050,3.381635,-3.437780
8004.435451,0.456596,0.893670,-0.192450,0.389561,-0.493493,0.085928,0.203816,-0.354875,0.072748,-2.268631,-1.641371,-2.731612,-0.178428,0.055856,0.472261,0.550339,0.103781,0.107178,-0.060256,-0.659190,0.505910,-1.507337,1.382578,0.073499,-0.177094,-0.390936,0.465973,12.167442,-5.494800,3.364281,-3.532840
8004.455551,0.428458,0.918206,-0.176111,0.308574,-0.536608,0.141663,0.203877,-0.370557,-0.014196,-2.266927,-1.683763,-2.721834,-0.189317,0.013849,0.364644,0.453452,0.184307,0.118877,-0.051341,-0.613394,0.567523,-1.494813,1.382866,0.055851,-0.200586,-0.386182,0.469990,12.205920,-5.656469,3.337392,-3.640312
8004.475459,0.423120,0.912628,-0.174619,0.277877,-0.508439,0.146730,0.209071,-0.381495,-0.042879,-2.273301,-1.701321,-2.701801,-0.192980,0.014718,0.292919,0.384126,0.263913,0.128808,-0.055741,-0.593670,0.574590,-1.492146,1.384639,0.056517,-0.191818,-0.388658,0.477989,12.232510,-5.818765,3.302276,-3.741166
8004.495485,0.427933,0.910055,-0.161582,0.218599,-0.492982,0.118290,0.218641,-0.383600,0.024901,-2.257446,-1.740320,-2.677356,-0.198972,-0.002148,0.224284,0.317265,0.333013,0.118893,-0.047248,-0.562629,0.588860,-1.493437,1.390449,0.038481,-0.201098,-0.396843,0.492517,12.241007,-5.984718,3.272751,-3.827250
8004.515827,0.463046,0.877944,-0.164642,0.190542,-0.458675,0.128224,0.233871,-0.383254,0.031354,-2.242830,-1.778752,-2.662827,-0.185624,0.007655,0.168401,0.258930,0.402600,0.106694,-0.042987,-0.552340,0.582978,-1.504442,1.387314,0.032479,-0.192048,-0.400530,0.496671,12.241413,-6.158232,3.251963,-3.910576
8004.535472,0.504471,0.819070,-0.178963,0.134893,-0.454135,0.200149,0.258091,-0.356904,0.021366,-2.219884,-1.849405,-2.654156,-0.221629,0.014753,0.090358,0.155478,0.453745,0.129912,-0.033135,-0.522993,0.618432,-1.504725,1.400652,0.017627,-0.195360,-0.392118,0.507229,12.217469,-6.332437,3.225332,-3.989518
8004.555482,0.537390,0.761178,-0.185185,0.125443,-0.424961,0.250777,0.258002,-0.355879,-0.014764,-2.220905,-1.887711,-2.664539,-0.228162,0.007990,0.014455,0.055458,0.512908,0.126573,-0.028173,-0.507493,0.634050,-1.521743,1.395663,0.001370,-0.199225,-0.402768,0.510772,12.184329,-6.516226,3.205548,-4.070466
8004.575547,0.547314,0.736249,-0.172855,0.097375,-0.429115,0.271027,0.263434,-0.364587,-0.048580,-2.216900,-1.930426,-2.671160,-0.217560,-0.011100,-0.047711,-0.030094,0.563850,0.132099,-0.030275,-0.476685,0.649586,-1.526611,1.397501,0.002193,-0.205896,-0.394256,0.510513,12.143435,-6.697888,3.179854,-4.159101
8004.595467,0.549482,0.715612,-0.170123,0.075925,-0.434368,0.259416,0.267255,-0.374513,-0.101609,-2.217274,-1.958484,-2.679195,-0.217050,-0.009498,-0.080677,-0.078679,0.607467,0.132930,-0.037336,-0.442080,0.646698,-1.526129,1.398983,-0.003780,-0.199599,-0.394547,0.512346,12.094009,-6.885253,3.148118,-4.246017
8004.615440,0.495652,0.730940,-0.166732,0.042585,-0.459885,0.280853,0.234434,-0.412215,-0.158209,-2.213394,-1.963194,-2.674564,-0.223487,-0.011530,-0.110242,-0.127389,0.643090,0.143530,-0.051805,-0.406904,0.631792,-1.517877,1.410931,-0.000280,-0.181841,-0.386350,0.501938,12.045643,-7.056174,3.107021,-4.357310
8004.635494,0.487408,0.728785,-0.166479,0.030831,-0.456401,0.260933,0.238571,-0.417258,-0.161826,-2.203953,-1.976621,-2.663224,-0.227039,-0.016499,-0.110767,-0.132958,0.689698,0.142109,-0.043849,-0.378784,0.612583,-1.523065,1.415417,-0.003348,-0.192212,-0.387229,0.499273,12.003005,-7.221220,3.061768,-4.465937
8004.655458,0.490084,0.724244,-0.167455,0.016987,-0.443416,0.264176,0.250167,-0.418625,-0.186858,-2.203431,-1.982762,-2.654269,-0.210912,-0.012743,-0.124137,-0.152872,0.736719,0.136037,-0.041760,-0.348164,0.602558,-1.534189,1.419574,0.001435,-0.196955,-0.388485,0.507323,11.947139,-7.380599,3.010436,-4.572781
8004.675479,0.516887,0.714166,-0.164033,-0.011498,-0.433434,0.203228,0.268847,-0.407467,-0.124633,-2.171990,-2.006437,-2.637995,-0.224882,-0.026049,-0.105587,-0.151383,0.769792,0.150695,-0.033104,-0.325152,0.586650,-1.528152,1.413881,-0.001895,-0.214481,-0.389726,0.504284,11.898326,-7.531905,2.963999,-4.660169
8004.695463,0.558364,0.708188,-0.158282,-0.031035,-0.417039,0.131918,0.308708,-0.374405,-0.065358,-2.136772,-2.025084,-2.621471,-0.211529,-0.035082,-0.061384,-0.126473,0.799066,0.152533,-0.027764,-0.308315,0.565413,-1.538736,1.406744,0.013215,-0.222681,-0.392027,0.504499,11.856706,-7.675695,2.920370,-4.742980
8004.715829,0.588141,0.695795,-0.161397,-0.039016,-0.397053,0.109794,0.316136,-0.379808,-0.047143,-2.118873,-2.010711,-2.610950,-0.202600,-0.018516,-0.032179,-0.091270,0.835863,0.151897,-0.025509,-0.306795,0.526073,-1.538913,1.409380,0.019657,-0.223020,-0.387457,0.506669,11.824510,-7.812307,2.884035,-4.826509
8004.735486,0.591981,0.700712,-0.176883,-0.040522,-0.380822,0.083137,0.328408,-0.390180,-0.041138,-2.095247,-2.000865,-2.598902,-0.236776,-0.004447,-0.001291,-0.036431,0.874798,0.145971,-0.022478,-0.312877,0.478762,-1.538421,1.407914,-0.011972,-0.216250,-0.392599,0.507257,11.785421,-7.941068,2.847991,-4.909272
8004.755406,0.566194,0.748577,-0.154592,-0.052114,-0.387821,0.067228,0.318695,-0.424632,-0.040481,-2.083967,-1.964965,-2.591543,-0.209759,-0.021184,0.009601,-0.010998,0.910077,0.144724,-0.013449,-0.323400,0.448903,-1.538193,1.416846,-0.010834,-0.220422,-0.397637,0.514257,11.760646,-8.064444,2.813247,-5.012463
8004.775515,0.554514,0.773764,-0.160323,-0.054394,-0.375305,0.061905,0.318747,-0.437654,-0.057788,-2.077594,-1.936839,-2.582093,-0.221824,-0.021172,0.007187,-0.003539,0.932302,0.138715,-0.024082,-0.324981,0.429970,-1.535524,1.412995,-0.025712,-0.218759,-0.392033,0.516908,11.735804,-8.192810,2.787059,-5.126663
8004.795447,0.550946,0.784019,-0.157910,-0.056470,-0.369160,0.064314,0.326325,-0.441993,-0.092386,-2.072790,-1.926647,-2.561307,-0.208919,-0.007900,-0.000810,-0.012371,0.945483,0.127998,-0.025332,-0.328782,0.425954,-1.542220,1.415793,-0.021938,-0.212981,-0.388956,0.525481,11.707252,-8.336466,2.770200,-5.243459
8004.815410,0.580367,0.749730,-0.177255,-0.053085,-0.354017,0.040866,0.333067,-0.432576,-0.101094,-2.049886,-1.931249,-2.535205,-0.251016,0.002780,0.020746,0.008826,0.960397,0.124676,-0.024742,-0.335056,0.415688,-1.544156,1.405937,-0.049147,-0.218194,-0.395863,0.531017,11.679523,-8.488974,2.755514,-5.341852
8004.836902,0.610527,0.722729,-0.178682,-0.054403,-0.342409,0.028652,0.345079,-0.412729,-0.097340,-2.029555,-1.935821,-2.498744,-0.241293,0.011488,0.028123,-0.006372,0.970131,0.129110,-0.031121,-0.341020,0.423223,-1.553735,1.402001,-0.040936,-0.212033,-0.397429,0.529326,11.645846,-8.642974,2.749907,-5.451718
