t,qw,qx,qy,qz,wx,wy,wz
8006.995401,-0.452717,0.011022,0.004999,0.891572,0.002742,-0.004724,0.005094
8007.015405,-0.452747,0.011034,0.005019,0.891557,0.007750,-0.002212,0.007956
8007.035460,-0.452853,0.011068,0.005094,0.891502,0.010092,-0.011447,0.009035
8007.055322,-0.452920,0.011137,0.005186,0.891467,0.003632,-0.009237,0.004844
8007.075361,-0.452930,0.011218,0.005318,0.891459,0.007985,-0.016328,-0.002341
8007.095556,-0.452948,0.011301,0.005455,0.891449,0.005644,-0.016104,0.005650
8007.115375,-0.452987,0.011395,0.005607,0.891427,0.006221,-0.017408,0.008296
8007.135329,-0.453045,0.011494,0.005738,0.891395,0.003912,-0.009200,0.009076
8007.155389,-0.453310,0.011506,0.005832,0.891259,0.003912,-0.009860,0.040669
8007.175359,-0.453496,0.011586,0.005925,0.891163,0.002236,-0.018568,0.004078
8007.195414,-0.453511,0.011695,0.006024,0.891153,0.005204,-0.011630,-0.002864
8007.215340,-0.453519,0.011853,0.006144,0.891147,0.008675,-0.019480,0.008810
8007.235330,-0.453549,0.011960,0.006233,0.891129,0.005245,-0.021431,0.004871
8007.255513,-0.453544,0.012245,0.006445,0.891127,-0.000668,-0.020789,0.000136
8007.275338,-0.453583,0.012419,0.006578,0.891103,0.000605,-0.015946,0.005940
8007.295424,-0.453659,0.012563,0.006686,0.891062,0.007351,-0.014916,0.022073
8007.315333,-0.453867,0.012663,0.006818,0.890953,0.004839,-0.012351,0.015187
8007.336141,-0.454041,0.012752,0.006904,0.890863,0.007225,-0.008269,0.025779
8007.355392,-0.454230,0.012822,0.006968,0.890765,0.001949,-0.014829,0.012299
8007.375409,-0.454324,0.012938,0.007043,0.890715,0.000705,-0.008763,0.006707
8007.395386,-0.454399,0.013014,0.007101,0.890675,0.000433,-0.007681,0.008031
8007.415389,-0.454436,0.013053,0.007145,0.890655,0.005055,-0.003642,-0.001047
8007.435444,-0.454470,0.013047,0.007136,0.890638,-0.002506,0.004474,0.006944
8007.455318,-0.454505,0.013010,0.007108,0.890621,0.001359,0.008519,0.001329
8007.475514,-0.454532,0.012972,0.007078,0.890608,-0.004026,0.012403,0.003999
8007.495463,-0.454555,0.012886,0.007013,0.890598,-0.002966,0.012438,0.003728
8007.515710,-0.454549,0.012802,0.006964,0.890602,-0.008482,0.009092,0.001393
8007.536216,-0.454582,0.012667,0.006877,0.890588,-0.003713,0.033960,0.001786
8007.555328,-0.454647,0.012170,0.006563,0.890564,-0.005823,0.058125,0.003025
8007.575306,-0.454703,0.011728,0.006299,0.890544,-0.005187,0.027533,-0.000308
8007.595446,-0.454687,0.011652,0.006219,0.890554,-0.007398,0.008063,0.001395
8007.615382,-0.454637,0.011544,0.006106,0.890581,-0.006851,0.014945,-0.010845
8007.635384,-0.454581,0.011392,0.005958,0.890613,-0.005783,0.019527,0.000011
8007.655327,-0.454587,0.011277,0.005830,0.890612,-0.003167,0.019309,-0.001342
8007.675395,-0.454611,0.011111,0.005702,0.890603,-0.006599,0.019786,0.001331
