t,q_left_hip_pitch_joint,q_left_hip_roll_joint,q_left_hip_yaw_joint,q_left_knee_joint,q_left_ankle_pitch_joint,q_left_ankle_roll_joint,q_right_hip_pitch_joint,q_right_hip_roll_joint,q_right_hip_yaw_joint,q_right_knee_joint,q_right_ankle_pitch_joint,q_right_ankle_roll_joint,q_waist_yaw_joint,q_waist_pitch_joint,q_waist_roll_joint,q_left_shoulder_pitch_joint,q_left_shoulder_roll_joint,q_left_shoulder_yaw_joint,q_left_elbow_joint,q_left_wrist_yaw_joint,q_left_wrist_pitch_joint,q_left_wrist_roll_joint,q_right_shoulder_pitch_joint,q_right_shoulder_roll_joint,q_right_shoulder_yaw_joint,q_right_elbow_joint,q_right_wrist_yaw_joint,q_right_wrist_pitch_joint,q_right_wrist_roll_joint,q_head_yaw_joint,q_head_pitch_joint
8004.415472,-0.160778,-0.023872,-0.009683,0.542925,-0.341210,0.016586,-0.324336,-0.027707,-0.025023,0.555964,-0.221369,0.056469,-0.024256,0.011199,-0.001118,0.186089,0.082930,-0.208331,-0.577631,-0.042663,0.053979,0.005150,0.222136,-0.076794,0.198743,-0.586068,0.048223,0.053979,-0.038720,-0.009923,0.000000
8004.435451,-0.156943,-0.022530,-0.009875,0.535064,-0.337183,0.014860,-0.321460,-0.026749,-0.025598,0.550787,-0.218493,0.057620,-0.023489,0.012342,-0.002397,0.182253,0.082738,-0.219644,-0.577631,-0.045156,0.055123,0.005531,0.221753,-0.078328,0.203537,-0.586260,0.048415,0.055505,-0.040246,-0.009923,0.000000
8004.455551,-0.154259,-0.020804,-0.009875,0.528161,-0.332965,0.014477,-0.318967,-0.025598,-0.026749,0.545418,-0.215617,0.058770,-0.023297,0.012914,-0.002877,0.180144,0.082738,-0.226930,-0.577631,-0.045732,0.057031,0.005531,0.220794,-0.080437,0.210824,-0.587027,0.048991,0.057794,-0.042153,-0.009923,0.000000
8004.475459,-0.151766,-0.018695,-0.009875,0.521258,-0.329130,0.012943,-0.316667,-0.024064,-0.028474,0.539857,-0.214083,0.060304,-0.023681,0.013129,-0.003118,0.179569,0.081588,-0.233258,-0.577631,-0.045732,0.058557,0.005531,0.220219,-0.082355,0.216768,-0.588369,0.049566,0.059701,-0.044061,-0.009923,0.000000
8004.495485,-0.148698,-0.017353,-0.009875,0.514547,-0.326254,0.011600,-0.312640,-0.023681,-0.030583,0.533722,-0.213892,0.062413,-0.025023,0.015060,-0.005283,0.179378,0.081204,-0.238435,-0.577631,-0.045923,0.060845,0.005531,0.220027,-0.083313,0.221945,-0.589136,0.050141,0.060845,-0.045968,-0.009923,0.000000
8004.515827,-0.146589,-0.015052,-0.009875,0.508986,-0.322802,0.009875,-0.309381,-0.023106,-0.033267,0.528928,-0.213700,0.063755,-0.026940,0.015418,-0.005685,0.179378,0.081396,-0.246680,-0.577631,-0.045923,0.063134,0.005913,0.220411,-0.084656,0.227314,-0.589136,0.050909,0.062753,-0.047875,-0.009923,0.000000
8004.535472,-0.145439,-0.012367,-0.009875,0.503618,-0.318392,0.008724,-0.306121,-0.022338,-0.037103,0.524135,-0.213700,0.064139,-0.029433,0.014988,-0.005203,0.179378,0.082163,-0.254925,-0.577631,-0.045923,0.065042,0.005913,0.221561,-0.085806,0.233449,-0.589328,0.052251,0.065042,-0.049020,-0.009923,0.000000
8004.555482,-0.144288,-0.010067,-0.009683,0.498632,-0.315899,0.006615,-0.303245,-0.021763,-0.040554,0.519341,-0.213700,0.064331,-0.032117,0.015130,-0.004403,0.179378,0.082163,-0.259910,-0.577631,-0.046498,0.066567,0.005913,0.222328,-0.086765,0.240544,-0.589328,0.054360,0.066567,-0.050546,-0.009923,0.000000
8004.575547,-0.142179,-0.007382,-0.008916,0.493647,-0.314941,0.003931,-0.299410,-0.020804,-0.043046,0.513972,-0.213700,0.064906,-0.034035,0.015701,-0.003604,0.179378,0.082163,-0.263937,-0.577631,-0.046882,0.067712,0.006294,0.222903,-0.087532,0.248022,-0.589328,0.057811,0.068856,-0.052072,-0.009923,0.000000
8004.595467,-0.138727,-0.004698,-0.007765,0.488470,-0.314366,0.000863,-0.294999,-0.019654,-0.045156,0.508603,-0.214850,0.066056,-0.035377,0.017631,-0.002727,0.179378,0.082163,-0.269306,-0.577631,-0.048224,0.069238,0.006294,0.222903,-0.087723,0.253582,-0.589328,0.062605,0.071145,-0.053979,-0.009923,0.000000
8004.615440,-0.133934,-0.001822,-0.006423,0.482334,-0.313982,-0.002588,-0.290014,-0.018504,-0.046498,0.502851,-0.216576,0.067590,-0.035952,0.020061,-0.002089,0.179378,0.082355,-0.275633,-0.577631,-0.049758,0.071145,0.006294,0.222903,-0.087723,0.258951,-0.589328,0.070274,0.073434,-0.055886,-0.009923,0.000000
8004.635494,-0.129907,0.000479,-0.005081,0.475431,-0.312832,-0.005465,-0.286179,-0.017736,-0.048416,0.497291,-0.218302,0.069316,-0.036144,0.021921,-0.001770,0.179378,0.082930,-0.286946,-0.577631,-0.050141,0.073815,0.006676,0.222903,-0.087915,0.265854,-0.589328,0.078519,0.075341,-0.057794,-0.009923,0.000000
8004.655458,-0.127031,0.002205,-0.005081,0.469296,-0.311681,-0.008149,-0.282728,-0.017353,-0.050525,0.491155,-0.219452,0.070274,-0.037869,0.023280,-0.001852,0.179378,0.083121,-0.292315,-0.577631,-0.050525,0.076104,0.007057,0.222903,-0.087915,0.273333,-0.589328,0.080245,0.076867,-0.059701,-0.009923,0.000000
8004.675479,-0.126456,0.004314,-0.004889,0.463543,-0.309572,-0.009875,-0.280427,-0.016969,-0.053784,0.485594,-0.219835,0.070849,-0.040554,0.023996,-0.002175,0.179378,0.083121,-0.297684,-0.577631,-0.050909,0.078012,0.007057,0.222903,-0.087915,0.281769,-0.589520,0.080821,0.078774,-0.060845,-0.009923,0.000000
8004.695463,-0.126264,0.006232,-0.004314,0.457024,-0.306504,-0.011409,-0.279085,-0.016778,-0.057044,0.480417,-0.219835,0.071042,-0.042663,0.024498,-0.002740,0.178610,0.083121,-0.303053,-0.577631,-0.051484,0.079156,0.007439,0.223479,-0.087915,0.287905,-0.589903,0.081588,0.080300,-0.061990,-0.009923,0.000000
8004.715829,-0.126264,0.007957,-0.003356,0.451464,-0.303053,-0.011792,-0.277359,-0.016778,-0.060112,0.474856,-0.220027,0.071042,-0.044005,0.024569,-0.002660,0.177268,0.083121,-0.309956,-0.577823,-0.052443,0.079919,0.007439,0.224246,-0.087915,0.292698,-0.590478,0.081971,0.081826,-0.063134,-0.009923,0.000000
8004.735486,-0.126072,0.010258,-0.000479,0.444752,-0.297301,-0.011984,-0.274866,-0.016010,-0.061838,0.466036,-0.220027,0.071233,-0.044772,0.024282,-0.001853,0.176118,0.083505,-0.321076,-0.577823,-0.055127,0.081826,0.007439,0.225012,-0.088299,0.299793,-0.590478,0.082738,0.084496,-0.065042,-0.009923,0.000000
8004.755406,-0.125689,0.012751,0.002397,0.438425,-0.292315,-0.012559,-0.272757,-0.014668,-0.062988,0.458941,-0.219260,0.071233,-0.044964,0.024497,-0.000161,0.175926,0.083121,-0.327788,-0.578015,-0.058770,0.084115,0.007439,0.225204,-0.089449,0.306504,-0.590670,0.083697,0.086404,-0.066949,-0.009923,0.000000
8004.775515,-0.124730,0.014861,0.005465,0.431905,-0.286946,-0.013134,-0.270648,-0.013710,-0.064331,0.450888,-0.216001,0.070466,-0.044964,0.024211,0.001289,0.175926,0.082355,-0.333349,-0.578015,-0.063755,0.086404,0.007820,0.225204,-0.090216,0.312832,-0.590862,0.085039,0.087930,-0.068856,-0.009923,0.000000
8004.795447,-0.124538,0.015627,0.006232,0.426345,-0.282153,-0.013710,-0.268731,-0.013326,-0.066440,0.443985,-0.212358,0.069891,-0.044772,0.023639,0.002255,0.175926,0.082355,-0.341018,-0.578015,-0.068740,0.088693,0.007820,0.225204,-0.090983,0.318201,-0.591629,0.086957,0.089837,-0.070764,-0.009923,0.000000
8004.815410,-0.124347,0.016395,0.006999,0.421935,-0.278510,-0.014093,-0.267772,-0.013326,-0.067974,0.440150,-0.210632,0.069316,-0.044964,0.023281,0.002818,0.175735,0.083121,-0.349647,-0.578015,-0.072959,0.090219,0.007820,0.225012,-0.091366,0.322227,-0.592587,0.088107,0.091363,-0.072289,-0.009923,0.000000
8004.836902,-0.123580,0.016778,0.007957,0.417524,-0.276017,-0.014669,-0.266238,-0.013326,-0.070274,0.436891,-0.209481,0.067782,-0.046306,0.023210,0.002899,0.175735,0.083889,-0.356166,-0.578015,-0.075068,0.091363,0.008202,0.224629,-0.091750,0.326254,-0.594121,0.089641,0.092507,-0.073434,-0.009923,0.000000
8004.855476,-0.122237,0.017353,0.009491,0.411388,-0.271799,-0.015819,-0.263553,-0.013901,-0.072192,0.431714,-0.206030,0.066631,-0.048991,0.022924,0.003220,0.175735,0.084080,-0.362110,-0.578015,-0.076026,0.093652,0.008202,0.224437,-0.091750,0.332390,-0.596039,0.095010,0.095179,-0.074960,-0.009923,0.000000
8004.875434,-0.120704,0.017736,0.010450,0.406979,-0.269306,-0.016778,-0.260869,-0.014477,-0.073342,0.427112,-0.204304,0.065865,-0.050909,0.022566,0.003300,0.175735,0.084080,-0.365754,-0.578015,-0.076602,0.095179,0.008202,0.223862,-0.091750,0.339676,-0.596422,0.103254,0.097086,-0.076486,-0.009923,0.000000
8004.895479,-0.118402,0.018312,0.011409,0.402760,-0.268156,-0.017353,-0.258184,-0.014668,-0.073726,0.422510,-0.203729,0.065672,-0.051675,0.022494,0.003380,0.175735,0.084272,-0.373040,-0.578015,-0.077561,0.097467,0.008583,0.223479,-0.091942,0.346579,-0.596806,0.110157,0.098612,-0.078393,-0.009923,0.000000
8004.915571,-0.114376,0.018695,0.012559,0.397583,-0.267388,-0.017736,-0.254541,-0.014668,-0.074109,0.417716,-0.203729,0.065672,-0.052059,0.022638,0.004024,0.175735,0.085039,-0.383394,-0.578015,-0.078712,0.099756,0.009346,0.222520,-0.091942,0.351372,-0.597764,0.112459,0.100519,-0.079919,-0.009923,0.000000
8004.935444,-0.109965,0.019079,0.013901,0.392598,-0.267005,-0.017928,-0.250131,-0.014477,-0.074109,0.412156,-0.203537,0.065672,-0.052251,0.022997,0.004589,0.175735,0.085423,-0.391064,-0.578207,-0.079478,0.101664,0.009727,0.221561,-0.091942,0.355207,-0.598148,0.112650,0.102045,-0.081826,-0.009923,0.000000
8004.955473,-0.105364,0.019079,0.014477,0.386653,-0.266813,-0.018312,-0.244954,-0.014477,-0.074685,0.404870,-0.203537,0.065672,-0.052443,0.023140,0.004912,0.175735,0.085231,-0.398159,-0.578207,-0.079670,0.103952,0.010109,0.220986,-0.091942,0.360960,-0.598532,0.113801,0.103952,-0.084115,-0.009923,0.000000
