t,target_left_hip_pitch_joint,target_left_hip_roll_joint,target_left_hip_yaw_joint,target_left_knee_joint,target_left_ankle_pitch_joint,target_left_ankle_roll_joint,target_right_hip_pitch_joint,target_right_hip_roll_joint,target_right_hip_yaw_joint,target_right_knee_joint,target_right_ankle_pitch_joint,target_right_ankle_roll_joint,target_waist_yaw_joint,target_waist_pitch_joint,target_waist_roll_joint,target_left_shoulder_pitch_joint,target_left_shoulder_roll_joint,target_left_shoulder_yaw_joint,target_left_elbow_joint,target_left_wrist_yaw_joint,target_left_wrist_pitch_joint,target_left_wrist_roll_joint,target_right_shoulder_pitch_joint,target_right_shoulder_roll_joint,target_right_shoulder_yaw_joint,target_right_elbow_joint,target_right_wrist_yaw_joint,target_right_wrist_pitch_joint,target_right_wrist_roll_joint,target_head_yaw_joint,target_head_pitch_joint
8004.735486,-0.213898,-0.006663,0.054221,0.320539,-0.365065,-0.072081,-0.195728,-0.063647,-0.064554,0.336543,-0.378347,0.112160,-0.072636,0.038502,-0.019052,0.122278,0.250830,-0.352453,-0.600483,-0.089645,0.100715,0.022982,0.196217,-0.208340,0.322748,-0.649938,0.116125,0.101452,-0.087033,-0.010000,0.004154
8004.755406,-0.215740,-0.008543,0.054049,0.316389,-0.360336,-0.075685,-0.186531,-0.065459,-0.070985,0.336002,-0.368424,0.106678,-0.064632,0.031698,-0.019087,0.124526,0.251051,-0.358909,-0.601796,-0.092244,0.102557,0.023402,0.193866,-0.206068,0.329899,-0.651224,0.119367,0.103307,-0.088624,-0.010000,0.004409
8004.775515,-0.216239,-0.009273,0.054873,0.311291,-0.360402,-0.077682,-0.179562,-0.064854,-0.074912,0.334953,-0.364830,0.103655,-0.068232,0.029713,-0.027737,0.121750,0.250343,-0.364994,-0.604570,-0.093410,0.104410,0.023825,0.192923,-0.207717,0.335733,-0.652033,0.122337,0.105174,-0.090226,-0.010000,0.004626
8004.795447,-0.215400,-0.009829,0.056969,0.305911,-0.362909,-0.079935,-0.175047,-0.064819,-0.077241,0.331302,-0.367169,0.103963,-0.068380,0.031409,-0.045118,0.122846,0.248149,-0.372342,-0.605069,-0.094403,0.106258,0.024247,0.195576,-0.208707,0.342061,-0.652016,0.126126,0.107035,-0.091822,-0.010000,0.004801
8004.815410,-0.209295,-0.009527,0.059147,0.303308,-0.356293,-0.082783,-0.177695,-0.063438,-0.077253,0.325059,-0.360710,0.103346,-0.078077,0.020301,-0.050220,0.112467,0.247073,-0.379446,-0.609595,-0.096891,0.108105,0.024668,0.199038,-0.209031,0.346596,-0.653398,0.129785,0.108896,-0.093419,-0.010000,0.004969
8004.836902,-0.202092,-0.009844,0.062268,0.300386,-0.352862,-0.085783,-0.180189,-0.062423,-0.075347,0.318061,-0.364787,0.106543,-0.080140,0.014493,-0.049237,0.109927,0.248282,-0.388011,-0.610076,-0.099188,0.110042,0.025110,0.202411,-0.210791,0.351658,-0.653542,0.132376,0.110847,-0.095092,-0.010000,0.005122
8004.855476,-0.197708,-0.010838,0.063354,0.298173,-0.355396,-0.088141,-0.181071,-0.061235,-0.074142,0.310654,-0.374114,0.108207,-0.081012,0.025940,-0.036713,0.111829,0.252318,-0.396197,-0.607606,-0.102302,0.111841,0.025521,0.205185,-0.211291,0.356761,-0.652776,0.132389,0.112658,-0.096646,-0.010000,0.005199
8004.875434,-0.195841,-0.011834,0.064766,0.292966,-0.357995,-0.091552,-0.179696,-0.059882,-0.076531,0.304917,-0.379935,0.106197,-0.079431,0.038295,-0.018120,0.112170,0.253341,-0.403302,-0.607563,-0.104610,0.113670,0.025938,0.202295,-0.212606,0.361818,-0.654777,0.133375,0.114501,-0.098227,-0.010000,0.005242
8004.895479,-0.198725,-0.012918,0.067497,0.285334,-0.363517,-0.093871,-0.174464,-0.059400,-0.080127,0.299670,-0.385299,0.103640,-0.075968,0.049148,0.001657,0.112752,0.254683,-0.408996,-0.607781,-0.106892,0.115515,0.026359,0.198913,-0.214560,0.368227,-0.656171,0.134989,0.116360,-0.099822,-0.010000,0.005226
8004.915571,-0.202589,-0.014800,0.068076,0.275953,-0.375182,-0.093246,-0.164691,-0.060932,-0.088977,0.297220,-0.397126,0.104886,-0.070992,0.059975,-0.026773,0.114110,0.252326,-0.415351,-0.608627,-0.105817,0.117369,0.026782,0.191495,-0.217525,0.375931,-0.659262,0.139752,0.118227,-0.101424,-0.010000,0.005187
8004.935444,-0.204659,-0.012324,0.069019,0.265328,-0.385883,-0.092597,-0.163120,-0.058558,-0.097551,0.297175,-0.402038,0.103936,-0.066111,0.071040,-0.038985,0.117171,0.252350,-0.421038,-0.607070,-0.105496,0.119213,0.027203,0.187926,-0.217725,0.383131,-0.663588,0.143085,0.120085,-0.103018,-0.010000,0.005198
8004.955473,-0.202765,-0.009547,0.070275,0.257526,-0.389819,-0.092428,-0.164798,-0.053860,-0.101343,0.294207,-0.393254,0.097289,-0.073508,0.108419,-0.028977,0.114466,0.252177,-0.429002,-0.607267,-0.106299,0.121063,0.027625,0.190860,-0.220261,0.389280,-0.664261,0.146624,0.121948,-0.104616,-0.010000,0.005257
8004.975398,-0.201204,-0.010299,0.071201,0.253606,-0.378400,-0.091210,-0.161848,-0.054091,-0.102854,0.289552,-0.368847,0.088672,-0.077888,0.108482,-0.020618,0.108306,0.251617,-0.436872,-0.609076,-0.108674,0.122909,0.028046,0.195215,-0.223766,0.395240,-0.661234,0.148945,0.123808,-0.106211,-0.010000,0.005348
8004.995471,-0.193403,-0.009996,0.074235,0.252245,-0.355175,-0.092394,-0.162258,-0.050271,-0.102014,0.283745,-0.335834,0.078246,-0.079573,0.102940,0.022117,0.104621,0.250396,-0.444797,-0.608453,-0.112064,0.124763,0.028469,0.195490,-0.222692,0.399828,-0.662437,0.150768,0.125675,-0.107813,-0.010000,0.005444
